lipids	converted_lipid_name
Cer 40:1;O2|Cer 18:1;O2/22:0	Cer 40:1(O2)|Cer 18:1(O2/22:0)
Cer 40:2;O2|Cer 18:1;O2/22:1	Cer 40:2(O2)|Cer 18:1(O2/22:1)
Cer 40:2;O2|Cer 18:2;O2/22:0	Cer 40:2(O2)|Cer 18:2(O2/22:0)
Cer 41:1;O2|Cer 18:1;O2/23:0	Cer 41:1(O2)|Cer 18:1(O2/23:0)
Cer 41:2;O2|Cer 18:2;O2/23:0	Cer 41:2(O2)|Cer 18:2(O2/23:0)
Cer 41:2;O4|Cer 17:1;O3/24:1(2OH)	Cer 41:2(O4)|Cer 17:1(O3/24:1(2OH))
Cer 41:3;O4|Cer 17:2;O3/24:1(2OH)	Cer 41:3(O4)|Cer 17:2(O3/24:1(2OH))
Cer 41:4;O3|Cer 17:3;O2/24:1;O	Cer 41:4(O3)|Cer 17:3(O2/24:1;O)
Cer 42:1;O2|Cer 18:0;O2/24:1	Cer 42:1(O2)|Cer 18:0(O2/24:1)
Cer 42:1;O2|Cer 18:1;O2/24:0	Cer 42:1(O2)|Cer 18:1(O2/24:0)
Cer 42:2;O2|Cer 18:1;O2/24:1	Cer 42:2(O2)|Cer 18:1(O2/24:1)
Cer 42:3;O2|Cer 18:2;O2/24:1	Cer 42:3(O2)|Cer 18:2(O2/24:1)
Cer 43:1;O2|Cer 18:1;O2/25:0	Cer 43:1(O2)|Cer 18:1(O2/25:0)
Cer 43:2;O2|Cer 18:1;O2/25:1	Cer 43:2(O2)|Cer 18:1(O2/25:1)
Cer 44:1;O3|Cer 18:1;O2/26:0;O	Cer 44:1(O3)|Cer 18:1(O2/26:0;O)
Cer 46:6;O3|Cer 18:1;O2/28:5;O	Cer 46:6(O3)|Cer 18:1(O2/28:5;O)
Cer 46:8;O2|Cer 18:2;O2/28:6	Cer 46:8(O2)|Cer 18:2(O2/28:6)
Cer 47:8;O4|Cer 29:6;O3(FA 18:1)	Cer 47:8(O4)|Cer 29:6(O3(FA 18:1))
Cer 54:10;O4|Cer 38:9;O3(FA 16:0)	Cer 54:10(O4)|Cer 38:9(O3(FA 16:0))
Cer 54:7;O2|Cer 18:1;O2/36:6	Cer 54:7(O2)|Cer 18:1(O2/36:6)
Cer 55:9;O4|Cer 37:7;O3(FA 18:1)	Cer 55:9(O4)|Cer 37:7(O3(FA 18:1))
Cer 56:12;O4|Cer 38:9;O3(FA 18:2)	Cer 56:12(O4)|Cer 38:9(O3(FA 18:2))
