lipids	converted_lipid_name
DG 40:0|DG 18:0_22:0	DG 40:0(x)|DG 18:0_22:0(x2)
DG 40:2	DG 40:2
DG 40:4|DG 18:0_22:4	DG 40:4(x)|DG 18:0_22:4(x2)
DG 40:5|DG 18:0_22:5	DG 40:5(x)|DG 18:0_22:5(x2)
DG 40:6	DG 40:6
DG 40:6|DG 16:0_24:6	DG 40:6(x)|DG 16:0_24:6(x2)
DG 40:6|DG 18:0_22:6	DG 40:6(x)|DG 18:0_22:6(x2)
DG 40:7	DG 40:7
DG 40:7|DG 18:1_22:6	DG 40:7(x)|DG 18:1_22:6(x2)
DG 40:8|DG 18:2_22:6	DG 40:8(x)|DG 18:2_22:6(x2)
DG 41:6	DG 41:6
DG 41:7	DG 41:7
DG 42:5	DG 42:5
DG 42:5|DG 18:0_24:5	DG 42:5(x)|DG 18:0_24:5(x2)
DG 42:6|DG 16:0_26:6	DG 42:6(x)|DG 16:0_26:6(x2)
DG 42:8	DG 42:8
DG 43:6	DG 43:6
DG 44:3	DG 44:3
DG 44:6	DG 44:6
DG 44:6|DG 18:0_26:6	DG 44:6(x)|DG 18:0_26:6(x2)
DG 45:7	DG 45:7
DG 46:10	DG 46:10
DG 46:11	DG 46:11
DG 46:12	DG 46:12
DG 46:7	DG 46:7
DG 46:9	DG 46:9
DG 47:5	DG 47:5
DG 47:7	DG 47:7
DG 47:8	DG 47:8
DG 47:9	DG 47:9
DG 48:10	DG 48:10
DG 48:12	DG 48:12
DG 48:13	DG 48:13
DG 48:5	DG 48:5
DG 49:10	DG 49:10
DG 49:11	DG 49:11
DG 49:12	DG 49:12
DG 49:5	DG 49:5
DG 49:7	DG 49:7
DG 49:8	DG 49:8
DG 49:9	DG 49:9
DG 50:11	DG 50:11
DG 50:13	DG 50:13
DG 50:14	DG 50:14
DG 50:5	DG 50:5
DG 50:6	DG 50:6
DG 51:11	DG 51:11
DG 51:12	DG 51:12
DG 51:14	DG 51:14
DG 52:6	DG 52:6
DG 52:8	DG 52:8
DG 52:9	DG 52:9
DG O-34:1|DG O-18:1_16:0	DGO 34:1(x)|DG O-18:1_16:0(x2)
DGCC 34:1	DGCC 34:1
DGCC 34:1|DGCC 16:0_18:1	DGCC 34:1(x)|DGCC 16:0_18:1(x2)
DGCC 34:2	DGCC 34:2
DGCC 35:1	DGCC 35:1
