lipids	converted_lipid_name
DG 47:11	DG 47:11
DG 48:11	DG 48:11
DG 48:12	DG 48:12
DG 49:10	DG 49:10
DG 49:11	DG 49:11
DG 49:7|DG 13:1_36:6	DG 49:7(m)|DG 13:1_36:6(m2)
DG 49:8	DG 49:8
DG 49:9	DG 49:9
DG 50:13	DG 50:13
DG 50:6	DG 50:6
DG 51:11	DG 51:11
DG 51:12	DG 51:12
DG 51:14	DG 51:14
DG 51:8	DG 51:8
DG O-38:7|DG O-16:1_22:6	DGO 38:7(m)|DG O-16:1_22:6(m2)
DGCC 35:1	DGCC 35:1
DGCC 36:2|DGCC 18:1_18:1	DGCC 36:2(m)|DGCC 18:1_18:1(m2)
DGGA 34:1|DGGA 16:0_18:1	DGGA 34:1(m)|DGGA 16:0_18:1(m2)
DGGA 36:2|DGGA 18:1_18:1	DGGA 36:2(m)|DGGA 18:1_18:1(m2)
DLCL 38:5	DLCL 38:5
FA 14:1;O2	FA 14:1(O2)
FA 15:4	FA 15:4
FA 16:0	FA 16:0
FA 16:1	FA 16:1
FA 16:1;O2	FA 16:1(O2)
FA 16:2;O3	FA 16:2(O3)
FA 17:1;O2	FA 17:1(O2)
FA 18:0	FA 18:0
FA 18:0;O	FA 18:0(O)
FA 18:1	FA 18:1
FA 18:1;O	FA 18:1(O)
FA 18:1;O2	FA 18:1(O2)
FA 18:1;O3	FA 18:1(O3)
FA 18:2	FA 18:2
FA 18:2;O	FA 18:2(O)
FA 18:2;O2	FA 18:2(O2)
FA 18:2;O3	FA 18:2(O3)
FA 19:1;O2	FA 19:1(O2)
FA 19:2;O2	FA 19:2(O2)
FA 20:1;O2	FA 20:1(O2)
FA 20:2;O3	FA 20:2(O3)
FA 20:4	FA 20:4
FA 22:1;O2	FA 22:1(O2)
FA 22:2;O2	FA 22:2(O2)
FA 22:2;O3	FA 22:2(O3)
FA 22:6	FA 22:6
FA 28:5	FA 28:5
FA 28:7	FA 28:7
FA 32:5	FA 32:5
FA 32:6	FA 32:6
FA 34:5	FA 34:5
FA 34:6	FA 34:6
FA 36:6	FA 36:6
FA 38:6	FA 38:6
FA 40:5	FA 40:5
FA 40:6	FA 40:6
FA 40:7	FA 40:7
FA 42:5	FA 42:5
FA 44:5	FA 44:5
FAHFA 27:0;O|FAHFA 18:0/9:0;O	FAHFA 27:0(O)|FAHFA 18:0/9:0(O)
GM3 36:1;O2	GM3 36:1(O2)
HBMP 42:3|HBMP 14:1_14:1_14:1	HBMP 42:3(m)|HBMP 14:1_14:1_14:1(m2)
HBMP 52:3|HBMP 16:0_18:1_18:2	HBMP 52:3(m)|HBMP 16:0_18:1_18:2(m2)
Hex2Cer 29:1;O2	Hex2Cer 29:1(O2)
HexCer 36:1;O2|HexCer 18:1;O2/18:0	HexCer 36:1(O2)|HexCer 18:1(O2/18:0)
HexCer 38:0;O2|HexCer 18:0;O2/20:0	HexCer 38:0(O2)|HexCer 18:0(O2/20:0)
HexCer 38:1;O2|HexCer 18:1;O2/20:0	HexCer 38:1(O2)|HexCer 18:1(O2/20:0)
HexCer 38:1;O3|HexCer 18:1;O2/20:0;O	HexCer 38:1(O3)|HexCer 18:1(O2/20:0;O)
HexCer 38:2;O2|HexCer 18:2;O2/20:0	HexCer 38:2(O2)|HexCer 18:2(O2/20:0)
HexCer 39:1;O2|HexCer 18:1;O2/21:0	HexCer 39:1(O2)|HexCer 18:1(O2/21:0)
HexCer 39:1;O3|HexCer 18:1;O2/21:0;O	HexCer 39:1(O3)|HexCer 18:1(O2/21:0;O)
HexCer 40:0;O2|HexCer 18:0;O2/22:0	HexCer 40:0(O2)|HexCer 18:0(O2/22:0)
HexCer 40:1;O2|HexCer 18:1;O2/22:0	HexCer 40:1(O2)|HexCer 18:1(O2/22:0)
HexCer 40:1;O3|HexCer 18:1;O2/22:0;O	HexCer 40:1(O3)|HexCer 18:1(O2/22:0;O)
HexCer 40:2;O2|HexCer 18:2;O2/22:0	HexCer 40:2(O2)|HexCer 18:2(O2/22:0)
HexCer 40:2;O3|HexCer 18:2;O2/22:0;O	HexCer 40:2(O3)|HexCer 18:2(O2/22:0;O)
HexCer 40:2;O4|HexCer 17:2;O3/23:0(2OH)	HexCer 40:2(O4)|HexCer 17:2(O3/23:0(2OH))
HexCer 41:1;O2|HexCer 18:1;O2/23:0	HexCer 41:1(O2)|HexCer 18:1(O2/23:0)
HexCer 41:1;O3|HexCer 18:1;O2/23:0;O	HexCer 41:1(O3)|HexCer 18:1(O2/23:0;O)
